country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,18.75000063578288,77.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,19.25000063578288,76.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.25000063578288,76.75001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.25000063578288,77.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.25000063578288,77.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,19.75000063578288,75.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.75000063578288,75.75001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.75000063578288,76.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.75000063578288,76.75001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.75000063578288,77.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,19.75000063578288,77.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,19.75000063578288,78.25001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,19.75000063578288,78.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.25000063578288,75.25001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,20.25000063578288,75.75001271565755,Cotton,155.0,203.0,309.0,14.0,6,7,11.0,1.0
India,20.25000063578288,76.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.25000063578288,77.25001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.25000063578288,77.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.25000063578288,78.25001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.25000063578288,78.75001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.75000063578288,74.75001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.75000063578288,75.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.75000063578288,75.75001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.75000063578288,76.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.75000063578288,76.75001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,20.75000063578288,77.25001271565755,Cotton,162.0,196.0,323.0,7.0,6,7,11.0,1.0
India,20.75000063578288,77.75001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,20.75000063578288,78.25001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,20.75000063578288,78.75001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,20.75000063578288,79.25001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,71.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,21.25000063578288,74.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,21.25000063578288,74.75001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,21.25000063578288,75.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,21.25000063578288,75.75001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,21.25000063578288,76.75001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,77.25001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,77.75001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,78.25001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,78.75001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.25000063578288,79.25001271565755,Cotton,120.0,189.0,288.0,42.0,4,7,10.0,2.0
India,21.75000063578288,70.75001271565755,Cotton,148.0,189.0,323.0,35.0,5,7,11.0,2.0
India,21.75000063578288,71.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,21.75000063578288,72.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,21.75000063578288,73.25001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,21.75000063578288,73.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,21.75000063578288,74.25001271565755,Cotton,134.0,182.0,295.0,343.0,5,6,10.0,12.0
India,22.25000063578288,70.75001271565755,Cotton,148.0,189.0,323.0,35.0,5,7,11.0,2.0
India,22.25000063578288,71.25001271565755,Cotton,148.0,189.0,323.0,35.0,5,7,11.0,2.0
India,22.25000063578288,71.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,22.25000063578288,73.25001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,22.25000063578288,73.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,22.75000063578288,70.75001271565755,Cotton,148.0,189.0,323.0,35.0,5,7,11.0,2.0
India,22.75000063578288,71.25001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,22.75000063578288,71.75001271565755,Cotton,148.0,189.0,323.0,28.0,5,7,11.0,1.0
India,24.25000063578288,68.75001271565755,Cotton,151.0,209.0,263.0,351.0,5,7,9.0,12.0
India,24.25000063578288,69.25001271565755,Cotton,151.0,209.0,263.0,351.0,5,7,9.0,12.0
India,24.25000063578288,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,24.25000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,24.75000063578288,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,24.75000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,24.75000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,24.75000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.25000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,70.25001271565755,Cotton,151.0,209.0,263.0,351.0,5,7,9.0,12.0
India,25.75000063578288,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
