country,crop,price_element,year,month,unit,price,flag,source,source_url
India,"Beans, dry",,2025.0,Annual value,,158.66,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2020.0,Annual value,,118.47,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2021.0,Annual value,,126.44,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2022.0,Annual value,,129.56,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2023.0,Annual value,,128.22,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2024.0,Annual value,,140.47,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cabbages,,2025.0,Annual value,,148.44,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2020.0,Annual value,,110.12,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2021.0,Annual value,,145.08,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2022.0,Annual value,,166.53,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2023.0,Annual value,,177.09,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2024.0,Annual value,,171.64,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cantaloupes and other melons,,2025.0,Annual value,,166.18,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2020.0,Annual value,,110.41,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2021.0,Annual value,,117.0,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2022.0,Annual value,,119.79,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2023.0,Annual value,,119.67,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2024.0,Annual value,,134.73,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Carrots and turnips,,2025.0,Annual value,,139.49,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2020.0,Annual value,,111.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2021.0,Annual value,,124.68,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2022.0,Annual value,,130.93,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2023.0,Annual value,,132.62,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2024.0,Annual value,,145.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cashew nuts, in shell",,2025.0,Annual value,,155.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2020.0,Annual value,,115.78,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2021.0,Annual value,,130.77,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2022.0,Annual value,,132.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2023.0,Annual value,,134.52,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2024.0,Annual value,,146.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cassava, fresh",,2025.0,Annual value,,155.14,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2020.0,Annual value,,95.83,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2021.0,Annual value,,116.74,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2022.0,Annual value,,123.39,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2023.0,Annual value,,125.54,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2024.0,Annual value,,137.36,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Castor oil seeds,,2025.0,Annual value,,149.18,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cauliflowers and broccoli,,2020.0,Annual value,,117.56,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cauliflowers and broccoli,,2021.0,Annual value,,126.17,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cauliflowers and broccoli,,2022.0,Annual value,,129.61,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cauliflowers and broccoli,,2023.0,Annual value,,127.74,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
