country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,32.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,32.75000127156576,79.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,74.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.25000127156576,79.25001271565755,Cotton,89,136,242,303,3,5,8,10
India,33.75000127156576,74.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,33.75000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,74.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,74.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,75.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,75.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,76.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,78.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.25000127156576,78.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.75000127156576,74.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.75000127156576,76.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.75000127156576,77.25001271565755,Cotton,67,166,264,360,3,6,9,12
India,34.75000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,35.25000127156576,77.75001271565755,Cotton,67,166,264,360,3,6,9,12
India,9.25000031789144,78.75001271565755,Groundnuts,183,245,295,350,7,9,10,12
India,10.25000031789144,77.75001271565755,Groundnuts,155,189,253,294,6,7,9,10
India,11.750000635782875,76.75001271565755,Groundnuts,127,182,267,308,5,6,9,11
India,11.750000635782875,77.25001271565755,Groundnuts,127,182,267,308,5,6,9,11
India,12.250000635782875,76.25001271565755,Groundnuts,127,182,267,308,5,6,9,11
India,12.250000635782875,76.75001271565755,Groundnuts,127,182,267,308,5,6,9,11
India,12.750000635782875,79.75001271565755,Groundnuts,155,189,253,294,6,7,9,10
India,13.250000635782875,78.75001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,13.250000635782875,79.25001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,13.250000635782875,79.75001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,13.250000635782875,80.25001271565755,Groundnuts,155,189,253,294,6,7,9,10
India,13.750000635782875,78.25001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,13.750000635782875,78.75001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,13.750000635782875,79.75001271565755,Groundnuts,176,224,288,336,6,8,10,12
India,14.250000635782875,77.25001271565755,Groundnuts,176,231,281,336,6,8,10,12
India,14.250000635782875,77.75001271565755,Groundnuts,176,231,281,336,6,8,10,12
India,14.250000635782875,78.25001271565755,Groundnuts,176,231,281,336,6,8,10,12
India,14.250000635782875,78.75001271565755,Groundnuts,176,231,281,336,6,8,10,12
