country,year,seed_class,quantity_thousand_mt,quantity_mt,source,source_url
India,,Breeder seed,7.63,7630.0,"Government of India, Department of Agriculture & Farmers Welfare",https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154580&lang=2&reg=3
India,,Foundation seed,182.93,182930.0,"Government of India, Department of Agriculture & Farmers Welfare",https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154580&lang=2&reg=3
India,,Certified / quality seed,5086.02,5086020.0,"Government of India, Department of Agriculture & Farmers Welfare",https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154580&lang=2&reg=3
India,,Certified / quality seed,5315.1,5315100.0,"Government of India, Department of Agriculture & Farmers Welfare",https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154580&lang=2&reg=3
