country,pesticide_category,element,year,unit,value,flag,source,source_url
India,Herbicides,Agricultural Use,2020,t,6335.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Herbicides,Agricultural Use,2021,t,6335.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Herbicides,Agricultural Use,2022,t,6335.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Herbicides,Agricultural Use,2023,t,6335.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Herbicides,Agricultural Use,2024,t,6335.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Fungicides and Bactericides,Agricultural Use,2020,t,13055.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Fungicides and Bactericides,Agricultural Use,2021,t,13055.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Fungicides and Bactericides,Agricultural Use,2022,t,13055.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Fungicides and Bactericides,Agricultural Use,2023,t,13055.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Fungicides and Bactericides,Agricultural Use,2024,t,13055.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Plant Growth Regulators,Agricultural Use,2020,t,84.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Plant Growth Regulators,Agricultural Use,2021,t,84.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Plant Growth Regulators,Agricultural Use,2022,t,84.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Plant Growth Regulators,Agricultural Use,2023,t,84.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Plant Growth Regulators,Agricultural Use,2024,t,84.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Rodenticides,Agricultural Use,2020,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Rodenticides,Agricultural Use,2021,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Rodenticides,Agricultural Use,2022,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Rodenticides,Agricultural Use,2023,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Rodenticides,Agricultural Use,2024,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Other Pesticides nes,Agricultural Use,2020,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Other Pesticides nes,Agricultural Use,2021,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Other Pesticides nes,Agricultural Use,2022,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Other Pesticides nes,Agricultural Use,2023,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
India,Other Pesticides nes,Agricultural Use,2024,t,0.0,I,FAOSTAT,https://www.fao.org/faostat/en/#data/RP
