country,crop,price_element,year,month,unit,price,flag,source,source_url
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2020,Annual value,,105.78,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2021,Annual value,,128.44,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2022,Annual value,,138.17,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2023,Annual value,,141.32,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2024,Annual value,,147.18,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price Index (2014-2016 = 100),2025,Annual value,,153.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2020,Annual value,,109.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2021,Annual value,,127.86,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2022,Annual value,,137.09,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2023,Annual value,,141.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2024,Annual value,,149.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,Producer Price Index (2014-2016 = 100),2025,Annual value,,158.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
